"Front";"Back";"Level";"ReviewCount";
"What is the Second Industrial Revolution also called?";"Intelligence on Demand";"new";"0";not accepted
"Who is accumulating wealth in the Second Industrial Revolution?";"Those who own AI platforms and compute";"new";"0";
"What happened to manual labor during the First Industrial Revolution?";"Manual labor displaced, new jobs emerged, massive economic restructuring";"new";"0";
"What is displaced in the Second Industrial Revolution?";"Knowledge work displaced, new jobs emerging, massive economic restructuring";"new";"0";not accepetd
"What are examples of routine cognitive work?";"Data entry, basic coding, document summarization, translation, customer service scripts, basic legal research, initial medical diagnoses";"new";"0";
"What types of work are considered augmented by AI?";"Software engineering, scientific research, strategic planning, creative design, teaching, journalism";"new";"0";
"Why are healthcare, trades, and caregiving more protected from AI?";"They require physical presence, human connection, trust, or real-world manipulation that AI cannot (yet) replicate";"new";"0";
"What does AI amplify according to the slide?";"AI amplifies existing power dynamics.";"new";"0";
"What is required to train frontier models?";"Billions in investment.";"new";"0";trivial
"What leads to better models and more users?";"More users → more data → better models → more users.";"new";"0";hallucinating
"Who historically captures the value of increased productivity?";"Capital owners.";"new";"0";
"How many companies can afford to train frontier models?";"Only a handful of companies.";"new";"0";
"What type of market dynamic is described?";"Winner-take-most dynamics.";"new";"0";not accepted
"What does the slide say about AI and knowledge workers?";"AI will replace all knowledge workers";"new";"0";not accepted
"What does the slide mention about human judgment?";"Some tasks automated, others augmented. Many require human judgment.";"new";"0";
"What is the question posed about AI in the slide?";"The question is not ""will AI replace you"" but ""how will you work with AI?""";"new";"0";trivial
"What activities does the slide say people continue to do despite AI?";"People still run marathons, climb mountains, do crafts by hand, and value physical fitness.";"new";"0";not accepted
"Why do people continue to think, learn, and create according to the slide?";"because using our intelligence is intrinsically valuable.";"new";"0";
"Why do people play sports and exercise despite machines being stronger and AI being faster?";"People play sports and exercise for enjoyment, health, challenge, physical accomplishment, and to find meaning in using their bodies.";"new";"0";
"Why do people think and solve problems despite AI being faster?";"People think and solve problems for enjoyment, satisfaction, intellectual accomplishment, and to find meaning in using their minds.";"new";"0";
